League Id,Date,Home,Score Home,Away,Score Away,Type,Played,Overtime,Shootout,Game Id
0,2003-10-30,10,1,24,3,Regular Season,1,0,0,141
0,2003-10-30,5,3,0,2,Regular Season,1,0,0,133
0,2003-10-30,17,1,3,1,Regular Season,1,1,0,134
0,2003-10-30,11,1,18,2,Regular Season,1,0,0,137
0,2003-10-30,8,6,15,3,Regular Season,1,0,0,135
0,2003-10-30,23,1,34,0,Regular Season,1,1,0,136
0,2003-10-31,22,2,33,3,Regular Season,1,0,0,145
0,2003-10-31,26,1,18,0,Regular Season,1,1,0,144
0,2003-11-1,20,2,30,2,Regular Season,1,1,0,154
0,2003-11-1,28,1,17,2,Regular Season,1,0,0,155
0,2003-11-1,16,3,8,4,Regular Season,1,0,0,157
0,2003-11-1,32,2,12,1,Regular Season,1,0,0,153
0,2003-11-1,3,5,14,1,Regular Season,1,0,0,159
0,2003-11-1,15,5,5,3,Regular Season,1,0,0,156
0,2003-11-1,29,1,24,0,Regular Season,1,0,0,158
0,2003-11-1,19,4,34,2,Regular Season,1,0,0,146
0,2003-11-1,23,2,9,5,Regular Season,1,0,0,147
0,2003-11-1,31,3,27,4,Regular Season,1,0,0,148
0,2003-11-1,21,1,25,0,Regular Season,1,0,0,152
0,2003-11-1,0,1,10,1,Regular Season,1,1,0,151
0,2003-11-1,11,4,26,1,Regular Season,1,0,0,149
0,2003-11-1,35,1,22,1,Regular Season,1,1,0,150
0,2003-11-2,12,2,32,4,Regular Season,1,0,0,163
0,2003-11-2,8,2,30,3,Regular Season,1,0,0,162
0,2003-11-2,10,1,25,0,Regular Season,1,0,0,164
0,2003-11-2,24,2,3,3,Regular Season,1,0,0,161
0,2003-11-2,33,5,27,1,Regular Season,1,0,0,160
0,2003-11-3,18,3,9,2,Regular Season,1,0,0,166
0,2003-11-3,20,0,28,2,Regular Season,1,0,0,165
0,2003-11-4,29,4,22,1,Regular Season,1,0,0,172
0,2003-11-4,3,0,15,2,Regular Season,1,0,0,173
0,2003-11-4,16,2,30,0,Regular Season,1,0,0,171
0,2003-11-4,10,3,12,2,Regular Season,1,0,0,170
0,2003-11-4,25,1,35,3,Regular Season,1,0,0,168
0,2003-11-4,19,1,9,3,Regular Season,1,0,0,167
0,2003-11-4,0,3,23,1,Regular Season,1,0,0,169
0,2003-11-5,32,1,18,3,Regular Season,1,0,0,177
0,2003-11-5,21,2,27,2,Regular Season,1,1,0,176
0,2003-11-5,31,1,11,6,Regular Season,1,0,0,175
0,2003-11-5,17,4,33,3,Regular Season,1,0,0,174
0,2003-11-6,14,3,22,0,Regular Season,1,0,0,183
0,2003-11-6,29,3,11,2,Regular Season,1,0,0,185
0,2003-11-6,28,2,23,1,Regular Season,1,0,0,182
0,2003-11-6,16,4,18,1,Regular Season,1,0,0,184
0,2003-11-6,5,0,27,1,Regular Season,1,0,0,178
0,2003-11-6,20,5,12,2,Regular Season,1,0,0,181
0,2003-11-6,24,1,10,1,Regular Season,1,1,0,179
0,2003-11-6,25,3,26,0,Regular Season,1,0,0,180
0,2003-11-7,21,5,3,1,Regular Season,1,0,0,190
0,2003-11-7,31,4,15,3,Regular Season,1,0,0,189
0,2003-11-7,32,2,8,1,Regular Season,1,0,0,191
0,2003-11-7,17,2,0,3,Regular Season,1,0,0,186
0,2003-11-7,19,2,35,3,Regular Season,1,1,0,188
0,2003-11-7,34,3,33,2,Regular Season,1,0,0,187
0,2003-11-8,16,0,31,4,Regular Season,1,0,0,200
0,2003-11-8,29,4,15,1,Regular Season,1,0,0,201
0,2003-11-8,3,3,23,3,Regular Season,1,1,0,202
