PlayerId,Year,TeamId,LeagueId,GP,G,A,PIM,+/-,PP G,PP A,SH G,SH A,GR,GWG,SOG,FO,FO W,HIT,GvA,TkA,SB,TOI,PPTOI,SHTOI,Fights,Fights Won
10469,2024,627,6,1,0,0,0,0,0,0,0,0,59,0,2,4,2,1,0,0,0,416,14,0,0,0
10469,2023,632,6,4,1,0,0,2,0,0,0,0,62,0,10,40,20,5,2,0,0,2399,1086,0,0,0
10469,2022,635,6,4,3,0,0,2,0,0,0,0,65,2,8,37,20,2,1,0,1,2429,355,91,0,0
10529,2023,524,5,4,0,0,18,2,0,0,0,0,63,0,0,0,0,7,1,3,3,3353,0,684,0,0
10529,2022,524,5,6,1,1,16,-3,0,0,0,0,59,0,8,0,0,6,4,3,7,4390,0,1181,0,0
10537,2026,1870,83,7,2,2,16,-2,1,1,0,0,69,0,9,0,0,9,3,6,12,6099,1315,1098,0,0
10537,2025,1870,83,7,0,3,6,0,0,1,0,0,75,0,10,0,0,11,0,5,26,7228,262,1011,0,0
10537,2024,1870,5,6,0,1,0,-3,0,0,0,0,71,0,7,0,0,10,1,2,13,5248,158,1361,0,0
10537,2022,4837,1,6,0,0,2,0,0,0,0,0,72,0,9,0,0,4,1,8,21,5025,811,1365,0,0
10548,2026,522,5,5,0,0,0,-2,0,0,0,0,56,0,5,0,0,5,3,1,2,3701,226,124,0,0
10548,2024,873,4,5,1,1,6,-2,0,0,0,0,58,0,3,2,1,2,5,2,1,3990,759,0,0,0
10548,2023,873,4,5,2,1,4,-1,0,0,0,0,65,1,7,8,4,3,2,0,0,4190,1560,303,0,0
10548,2022,887,4,6,0,3,4,0,0,0,0,0,70,0,12,17,5,10,1,1,5,5217,707,524,0,0
10565,2026,1861,83,6,0,1,6,-2,0,0,0,0,66,0,10,0,0,6,3,4,5,5547,409,375,0,0
10565,2024,1475,83,7,0,3,2,-4,0,0,0,1,61,0,13,0,0,6,5,4,7,6838,704,1176,0,0
10565,2023,1475,83,6,0,1,6,-2,0,1,0,0,68,0,8,0,0,5,0,1,6,5745,552,211,0,0
10565,2022,1861,83,6,2,2,18,1,1,0,0,0,67,0,16,3,1,4,4,5,11,5193,1463,532,0,0
10585,2026,1871,83,6,2,1,2,-2,0,1,0,0,58,0,10,0,0,5,4,0,4,4436,410,750,0,0
10585,2025,1871,83,7,0,2,12,5,0,0,0,1,65,0,2,0,0,3,3,3,6,4851,0,1601,0,0
10585,2024,1871,83,7,0,1,4,-2,0,0,0,1,68,0,10,2,1,11,0,3,2,6356,537,555,0,0
10585,2022,514,5,6,4,1,4,5,0,0,0,0,68,0,17,0,0,4,0,1,12,5591,51,164,0,0
10620,2024,522,83,5,1,1,0,3,0,0,0,0,62,0,7,48,23,6,0,1,1,3871,28,33,0,0
10620,2023,522,83,7,1,0,2,-5,0,0,0,0,50,0,2,2,0,7,0,0,2,3301,61,68,0,0
10620,2022,522,83,6,1,1,2,2,0,0,0,0,62,0,5,23,14,10,1,2,2,3109,141,49,0,0
10675,2025,1876,83,6,2,0,2,-3,0,0,0,0,60,0,15,2,2,3,2,3,2,4504,411,183,0,0
10675,2024,518,5,3,0,0,0,-1,0,0,0,0,56,0,1,0,0,1,0,0,0,1383,30,0,0,0
10675,2023,518,5,4,0,1,2,1,0,0,0,0,55,0,1,11,3,0,4,0,1,1563,93,207,0,0
10675,2022,516,5,7,1,0,4,0,0,0,0,0,63,0,9,25,14,4,2,1,6,5129,320,1322,0,0
10690,2026,516,5,5,0,1,0,-2,0,1,0,0,59,0,3,16,7,3,0,0,0,1814,679,0,0,0
10690,2025,516,5,2,0,0,0,-2,0,0,0,0,54,0,2,11,8,1,2,0,0,881,422,0,0,0
10690,2024,516,5,4,0,0,24,-4,0,0,0,0,55,0,2,37,18,5,1,1,1,2542,31,0,0,0
10690,2023,516,5,6,1,0,4,-5,1,0,0,0,62,0,8,86,41,1,1,2,2,3771,1580,37,0,0
10690,2022,516,5,7,5,3,6,-2,2,2,0,0,71,1,17,108,58,8,2,1,10,5007,1453,0,0,0
10694,2026,519,5,6,1,1,2,2,0,0,0,0,59,0,4,10,4,5,0,1,2,3333,45,73,0,0
10694,2025,1477,83,6,0,3,2,1,0,0,0,0,61,0,18,2,0,2,5,0,0,4480,1141,199,0,0
10694,2024,1477,83,7,3,3,2,2,1,3,0,0,66,1,7,12,7,8,4,0,2,5298,1705,169,0,0
10694,2023,1477,83,7,4,2,2,-6,3,0,0,0,67,0,24,3,1,8,2,2,0,5810,1490,27,0,0
10694,2022,1477,5,5,3,1,16,0,2,0,0,0,73,1,18,12,6,10,3,1,2,3066,1773,46,0,0
10701,2026,1872,83,5,0,1,0,0,0,0,0,0,59,0,0,23,11,0,1,0,1,2388,0,829,0,0
10701,2025,1872,83,7,1,0,14,-1,0,0,0,0,56,0,8,11,4,8,2,3,3,5201,107,388,0,0
10701,2024,1872,83,6,1,1,0,-1,0,0,0,0,55,1,8,24,10,9,3,1,2,5052,643,1100,0,0
10701,2023,1872,83,7,0,1,0,-5,0,0,0,0,58,0,12,2,1,11,2,1,3,5167,379,772,0,0
10701,2022,1872,83,6,0,0,0,0,0,0,0,0,58,0,9,12,5,5,2,1,0,3716,0,249,0,0
10706,2026,1475,83,7,0,1,4,3,0,0,0,0,58,0,5,9,3,3,2,1,3,4803,268,102,0,0
10706,2025,1475,83,6,2,3,4,1,0,0,0,0,55,0,9,2,1,2,3,0,4,3000,100,101,0,0
10706,2024,1475,83,6,1,1,2,-2,0,0,0,0,71,0,8,7,4,4,0,7,5,3798,1305,83,0,0
10706,2023,1477,83,6,0,4,0,2,0,1,0,0,68,0,9,30,15,5,1,1,0,3810,476,279,0,0
10706,2022,1477,5,3,0,0,0,0,0,0,0,0,62,0,5,6,2,2,2,2,3,1589,95,494,0,0
10709,2026,2488,66,7,3,4,7,3,1,0,0,0,66,0,15,0,0,8,0,0,3,5544,1213,158,1,1
10709,2025,2488,66,7,1,2,2,1,0,0,0,0,59,0,5,13,6,8,1,2,1,5080,103,671,0,0
