League Id,Date,Type,Game Id,PlayerId,TeamId,Game Rating,SA,GA,SV,SV%,TOI,PIM
0,2003-9-28,Pre-Season,1328,2037,23,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1328,2143,24,72,26,2,24,.923,3810000,0
0,2003-9-28,Pre-Season,1328,2273,24,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1324,295,11,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1324,909,10,82,25,1,24,.960,3600000,0
0,2003-9-28,Pre-Season,1324,1235,11,53,24,3,21,.875,3544000,0
0,2003-9-28,Pre-Season,1324,1354,10,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1334,1295,33,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1334,1655,28,70,16,1,15,.938,3600000,0
0,2003-9-28,Pre-Season,1334,1871,33,57,38,5,33,.868,3600000,0
0,2003-9-28,Pre-Season,1334,1959,28,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1330,1374,14,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1330,1621,22,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1330,2813,22,79,25,1,24,.960,3900000,0
0,2003-9-28,Pre-Season,1330,2883,14,66,21,1,20,.952,3900000,0
0,2003-9-28,Pre-Season,1332,1607,19,82,31,2,29,.935,3600000,0
0,2003-9-28,Pre-Season,1332,1951,5,46,19,3,16,.842,3547000,0
0,2003-9-28,Pre-Season,1332,1975,5,0,0,0,0,.00nan,0,0
0,2003-9-28,Pre-Season,1332,2214,19,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1374,1607,19,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1374,1655,28,43,15,3,12,.800,3566000,0
0,2003-9-30,Pre-Season,1374,1959,28,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1374,2214,19,91,38,1,37,.974,3600000,0
0,2003-9-30,Pre-Season,1372,1572,9,93,33,1,32,.970,3900000,0
0,2003-9-30,Pre-Season,1372,1695,9,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1372,2050,25,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1372,2458,25,89,30,1,29,.967,3900000,0
0,2003-9-30,Pre-Season,1370,412,31,86,47,5,42,.894,3600000,0
0,2003-9-30,Pre-Season,1370,1558,16,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1370,1890,16,66,16,1,15,.938,3600000,0
0,2003-9-30,Pre-Season,1370,2086,31,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1380,458,17,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1380,1150,17,92,34,1,33,.971,3600000,0
0,2003-9-30,Pre-Season,1380,1838,27,60,24,2,22,.917,3580000,0
0,2003-9-30,Pre-Season,1380,2347,27,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1378,1258,18,31,28,6,22,.786,3761000,0
0,2003-9-30,Pre-Season,1378,1329,20,27,18,5,13,.722,2167000,0
0,2003-9-30,Pre-Season,1378,1494,18,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1378,2122,20,49,10,2,8,.800,1594000,0
0,2003-9-30,Pre-Season,1368,212,30,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1368,1188,34,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1368,1318,34,89,40,3,37,.925,3600000,0
0,2003-9-30,Pre-Season,1368,1433,30,65,16,1,15,.938,3600000,0
0,2003-9-30,Pre-Season,1376,1174,26,72,42,4,38,.905,3600000,0
0,2003-9-30,Pre-Season,1376,1215,26,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1376,1389,35,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1376,2013,35,71,20,1,19,.950,3600000,0
0,2003-9-30,Pre-Season,1366,1621,22,70,26,2,24,.923,3545000,0
0,2003-9-30,Pre-Season,1366,1907,8,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1366,2182,8,85,16,0,16,1.000,3600000,0
0,2003-9-30,Pre-Season,1366,2813,22,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1352,1754,32,0,0,0,0,.00nan,0,0
0,2003-9-30,Pre-Season,1352,1951,5,0,0,0,0,.00nan,0,0
